Problem,Vertices,Edges,Construction(Grasp),Construction(Local Search),Local Search Iteration,Local Search Best,Grasp Iteration,Grasp Best
G43,1000,9990,Greedy3,Greedy3,48,6467,50,6516
G44,1000,9990,Greedy3,Greedy3,52,6471,50,6525
G45,1000,9990,Greedy3,Greedy3,47,6470,50,6516
G46,1000,9990,Greedy3,Greedy3,47,6466,50,6514
G47,1000,9990,Greedy3,Greedy3,49,6470,50,6513
G48,3000,6000,Greedy,Greedy,1,6000,50,6000
G49,3000,6000,Greedy,Greedy,1,6000,50,6000
G50,3000,6000,Greedy2,Greedy2,1,5880,50,5880
G51,1000,5909,Semi-Greedy,Greedy3,26,3731,50,3756
G52,1000,5916,Greedy3,Greedy3,28,3737,50,3756
G53,1000,5914,Greedy3,Greedy3,26,3731,50,3758
G54,1000,5916,Greedy3,Greedy3,26,3729,50,3755
