Problem,Vertices,Edges,Construction,Local Search Iteration,Local Search Best,Grasp Iteration,Grasp Best
G43,1000,9990,Greedy,136,6439,50,6439
G43,1000,9990,Greedy2,120,6440,50,6440
G43,1000,9990,Greedy3,48,6467,50,6516
G43,1000,9990,Semi-Greedy,85,6436,50,6492
G43,1000,9990,Randomised,928,6423,50,6438
G43,1000,9990,Randomised2,575,6397,50,6473
G43,1000,9990,Randomised3,566,6405,50,6452
G43,1000,9990,Randomised4,125,6396,50,6450
G44,1000,9990,Greedy,124,6356,50,6356
G44,1000,9990,Greedy2,122,6397,50,6397
G44,1000,9990,Greedy3,52,6471,50,6525
G44,1000,9990,Semi-Greedy,89,6436,50,6494
G44,1000,9990,Randomised,909,6435,50,6453
G44,1000,9990,Randomised2,565,6399,50,6463
G44,1000,9990,Randomised3,557,6401,50,6453
G44,1000,9990,Randomised4,123,6387,50,6456
G45,1000,9990,Greedy,93,6361,50,6361
G45,1000,9990,Greedy2,116,6390,50,6390
G45,1000,9990,Greedy3,47,6470,50,6516
G45,1000,9990,Semi-Greedy,88,6435,50,6485
G45,1000,9990,Randomised,878,6359,50,6414
G45,1000,9990,Randomised2,560,6392,50,6461
G45,1000,9990,Randomised3,557,6391,50,6465
G45,1000,9990,Randomised4,124,6395,50,6454
G46,1000,9990,Greedy,142,6396,50,6396
G46,1000,9990,Greedy2,120,6422,50,6422
G46,1000,9990,Greedy3,47,6466,50,6514
G46,1000,9990,Semi-Greedy,79,6429,50,6496
G46,1000,9990,Randomised,920,6367,50,6429
G46,1000,9990,Randomised2,566,6400,50,6498
G46,1000,9990,Randomised3,559,6397,50,6481
G46,1000,9990,Randomised4,124,6398,50,6456
G47,1000,9990,Greedy,142,6391,50,6391
G47,1000,9990,Greedy2,129,6433,50,6433
G47,1000,9990,Greedy3,49,6470,50,6513
G47,1000,9990,Semi-Greedy,88,6440,50,6498
G47,1000,9990,Randomised,935,6402,50,6431
G47,1000,9990,Randomised2,567,6398,50,6465
G47,1000,9990,Randomised3,557,6404,50,6463
G47,1000,9990,Randomised4,133,6399,50,6447
G48,3000,6000,Greedy,1,6000,50,6000
G48,3000,6000,Greedy2,1,6000,50,6000
G48,3000,6000,Greedy3,1,6000,50,6000
G48,3000,6000,Semi-Greedy,1,6000,50,6000
G48,3000,6000,Randomised,1608,5986,50,6000
G48,3000,6000,Randomised2,834,5016,50,5094
G48,3000,6000,Randomised3,836,5016,50,5144
G48,3000,6000,Randomised4,76,5074,50,5152
G49,3000,6000,Greedy,1,6000,50,6000
G49,3000,6000,Greedy2,1,6000,50,6000
G49,3000,6000,Greedy3,1,6000,50,6000
G49,3000,6000,Semi-Greedy,1,6000,50,6000
G49,3000,6000,Randomised,1629,5974,50,6000
G49,3000,6000,Randomised2,837,5016,50,5116
G49,3000,6000,Randomised3,836,5013,50,5124
G49,3000,6000,Randomised4,76,5071,50,5156
G50,3000,6000,Greedy,1,5854,50,5854
G50,3000,6000,Greedy2,1,5880,50,5880
G50,3000,6000,Greedy3,1,5880,50,5880
G50,3000,6000,Semi-Greedy,2,5852,50,5854
G50,3000,6000,Randomised,1640,5867,50,5880
G50,3000,6000,Randomised2,835,5006,50,5122
G50,3000,6000,Randomised3,830,5007,50,5144
G50,3000,6000,Randomised4,78,5078,50,5144
G51,1000,5909,Greedy,50,3726,50,3726
G51,1000,5909,Greedy2,64,3689,50,3689
G51,1000,5909,Greedy3,26,3731,50,3749
G51,1000,5909,Semi-Greedy,36,3719,50,3756
G51,1000,5909,Randomised,455,3653,50,3659
G51,1000,5909,Randomised2,336,3670,50,3697
G51,1000,5909,Randomised3,326,3670,50,3694
G51,1000,5909,Randomised4,63,3687,50,3720
G52,1000,5916,Greedy,64,3730,50,3730
G52,1000,5916,Greedy2,65,3694,50,3694
G52,1000,5916,Greedy3,28,3737,50,3756
G52,1000,5916,Semi-Greedy,37,3725,50,3752
G52,1000,5916,Randomised,482,3666,50,3686
G52,1000,5916,Randomised2,333,3675,50,3701
G52,1000,5916,Randomised3,327,3672,50,3700
G52,1000,5916,Randomised4,65,3691,50,3719
G53,1000,5914,Greedy,56,3729,50,3729
G53,1000,5914,Greedy2,66,3716,50,3716
G53,1000,5914,Greedy3,26,3731,50,3758
G53,1000,5914,Semi-Greedy,36,3721,50,3740
G53,1000,5914,Randomised,491,3669,50,3676
G53,1000,5914,Randomised2,330,3669,50,3702
G53,1000,5914,Randomised3,323,3671,50,3701
G53,1000,5914,Randomised4,61,3689,50,3714
G54,1000,5916,Greedy,53,3726,50,3726
G54,1000,5916,Greedy2,56,3693,50,3693
G54,1000,5916,Greedy3,26,3729,50,3755
G54,1000,5916,Semi-Greedy,33,3719,50,3741
G54,1000,5916,Randomised,495,3663,50,3671
G54,1000,5916,Randomised2,329,3670,50,3704
G54,1000,5916,Randomised3,317,3671,50,3707
G54,1000,5916,Randomised4,62,3692,50,3724
